checkinCount1,checkinCount2,checkinCount3,checkinCount4,height0,weight0,weight1,weight2,weight3,weight4,waistline0,waistline1,waistline2,waistline3,waistline4,deltaWeight1,deltaWeight2,deltaWeight3,deltaWeight4,deltaWeightAll,deltaWaist1,deltaWaist2,deltaWaist3,deltaWaist4,deltaWaistAll
28.0,28.0,28.0,28.0,160.0,70.4,69.4,69.0,69.3,68.5,86.0,81.0,80.0,80.0,80.0,1.0,0.4,-0.3,0.8,1.9,5.0,1.0,0.0,0.0,6.0
11.0,14.0,16.0,12.0,170.0,78.0,77.5,76.5,76.3,76.1,90.0,90.0,86.0,85.0,86.0,0.5,1.0,0.2,0.2,1.9,0.0,4.0,1.0,-1.0,4.0
22.0,26.0,21.0,24.0,161.0,49.1,47.8,47.2,47.2,46.7,67.0,65.0,64.0,63.0,61.0,1.3,0.6,0.0,0.5,2.4,2.0,1.0,1.0,2.0,6.0
21.0,26.0,18.0,19.0,156.0,55.0,54.3,54.0,53.1,52.6,83.0,74.7,76.0,74.0,74.0,0.7,0.3,0.9,0.5,2.4,8.3,-1.3,2.0,0.0,9.0
27.0,9.0,26.0,12.0,160.0,63.3,62.3,62.1,60.7,60.8,75.0,71.5,70.5,69.5,70.5,1.0,0.2,1.4,-0.1,2.5,3.5,1.0,1.0,-1.0,4.5
22.0,24.0,26.0,13.0,158.0,55.0,54.5,54.2,54.0,53.2,74.0,74.0,73.0,72.0,72.0,0.5,0.3,0.2,0.8,1.8,0.0,1.0,1.0,0.0,2.0
24.0,26.0,22.0,27.0,163.0,69.1,67.1,66.2,65.0,65.0,86.0,85.0,85.0,84.0,83.0,2.0,0.9,1.2,0.0,4.1,1.0,0.0,1.0,1.0,3.0
27.0,28.0,28.0,28.0,170.0,61.9,60.3,59.5,59.1,58.3,75.0,72.0,70.0,69.0,67.5,1.6,0.8,0.4,0.8,3.6,3.0,2.0,1.0,1.5,7.5
24.0,28.0,28.0,27.0,158.0,55.7,53.7,53.3,52.6,52.7,77.0,72.0,74.0,71.0,72.0,2.0,0.4,0.7,-0.1,3.0,5.0,-2.0,3.0,-1.0,5.0
24.0,28.0,28.0,28.0,183.0,98.0,95.0,92.4,91.0,89.0,95.0,92.0,88.0,87.0,85.0,3.0,2.6,1.4,2.0,9.0,3.0,4.0,1.0,2.0,10.0
27.0,27.0,26.0,25.0,164.0,60.2,59.4,57.8,58.5,58.7,76.0,75.0,72.0,71.5,72.5,0.8,1.6,-0.7,-0.2,1.5,1.0,3.0,0.5,-1.0,3.5
1.0,8.0,0.0,0.0,170.0,75.5,73.8,72.8,71.9,71.0,87.0,85.0,81.5,79.5,79.0,1.7,1.0,0.9,0.9,4.5,2.0,3.5,2.0,0.5,8.0
22.0,26.0,28.0,26.0,157.0,51.8,50.3,50.1,48.7,48.6,69.0,67.0,66.0,65.0,64.0,1.5,0.2,1.4,0.1,3.2,2.0,1.0,1.0,1.0,5.0
14.0,22.0,22.0,11.0,159.0,56.4,56.1,55.7,55.0,54.9,76.0,73.0,73.0,72.0,72.0,0.3,0.4,0.7,0.1,1.5,3.0,0.0,1.0,0.0,4.0
18.0,21.0,25.0,18.0,160.0,62.0,60.0,58.4,58.0,56.8,74.0,75.0,71.0,67.0,70.0,2.0,1.6,0.4,1.2,5.2,-1.0,4.0,4.0,-3.0,4.0
28.0,28.0,28.0,28.0,158.0,60.7,60.1,59.5,59.2,59.1,82.5,81.0,79.0,76.5,74.0,0.6,0.6,0.3,0.1,1.6,1.5,2.0,2.5,2.5,8.5
28.0,28.0,28.0,28.0,181.0,89.0,87.1,85.8,86.0,84.2,96.0,92.0,89.0,88.0,87.0,1.9,1.3,-0.2,1.8,4.8,4.0,3.0,1.0,1.0,9.0
28.0,24.0,3.0,20.0,172.0,56.6,55.4,55.7,54.6,54.3,68.0,66.5,66.0,65.0,64.5,1.2,-0.3,1.1,0.3,2.3,1.5,0.5,1.0,0.5,3.5
10.0,20.0,20.0,26.0,158.0,62.0,61.6,60.4,60.0,59.8,83.0,86.0,80.0,82.0,76.0,0.4,1.2,0.4,0.2,2.2,-3.0,6.0,-2.0,6.0,7.0
18.0,23.0,16.0,9.0,163.0,73.2,72.1,70.6,70.2,68.5,90.0,88.0,87.5,86.0,85.0,1.1,1.5,0.4,1.7,4.7,2.0,0.5,1.5,1.0,5.0
21.0,22.0,7.0,15.0,156.0,51.4,50.3,49.6,49.8,49.3,65.0,64.7,64.0,64.5,63.0,1.1,0.7,-0.2,0.5,2.1,0.3,0.7,-0.5,1.5,2.0
23.0,13.0,17.0,19.0,167.0,58.7,57.5,57.0,57.0,56.8,73.0,70.0,69.0,68.0,68.0,1.2,0.5,0.0,0.2,1.9,3.0,1.0,1.0,0.0,5.0
13.0,6.0,2.0,6.0,171.0,64.9,64.5,63.9,64.8,64.3,78.5,77.0,77.0,78.0,77.0,0.4,0.6,-0.9,0.5,0.6,1.5,0.0,-1.0,1.0,1.5
15.0,10.0,8.0,1.0,170.0,73.7,73.0,72.0,71.3,71.0,99.5,99.3,99.0,98.0,97.5,0.7,1.0,0.7,0.3,2.7,0.2,0.3,1.0,0.5,2.0
27.0,23.0,24.0,18.0,161.0,63.3,60.5,59.8,59.3,58.8,75.0,74.2,74.0,73.2,73.0,2.8,0.7,0.5,0.5,4.5,0.8,0.2,0.8,0.2,2.0
26.0,27.0,27.0,25.0,163.0,55.5,54.8,54.0,53.5,53.0,69.0,67.0,68.5,68.5,68.0,0.7,0.8,0.5,0.5,2.5,2.0,-1.5,0.0,0.5,1.0
22.0,19.0,20.0,18.0,158.0,75.4,72.9,72.0,72.9,73.0,88.0,88.0,82.0,86.0,86.0,2.5,0.9,-0.9,-0.1,2.4,0.0,6.0,-4.0,0.0,2.0
27.0,26.0,27.0,28.0,150.0,46.4,45.6,46.1,45.5,45.3,71.5,65.0,66.0,66.0,64.0,0.8,-0.5,0.6,0.2,1.1,6.5,-1.0,0.0,2.0,7.5
24.0,24.0,27.0,13.0,172.0,73.5,72.0,71.0,70.0,69.3,88.0,85.0,84.0,83.0,82.0,1.5,1.0,1.0,0.7,4.2,3.0,1.0,1.0,1.0,6.0
20.0,22.0,23.0,11.0,168.0,70.1,68.1,66.5,65.5,65.0,81.0,80.0,79.0,78.0,78.0,2.0,1.6,1.0,0.5,5.1,1.0,1.0,1.0,0.0,3.0
25.0,26.0,26.0,22.0,155.0,60.0,59.0,58.7,58.0,57.0,89.0,86.0,82.0,80.0,81.0,1.0,0.3,0.7,1.0,3.0,3.0,4.0,2.0,-1.0,8.0
26.0,28.0,28.0,21.0,175.0,84.2,82.5,82.3,82.0,81.8,82.0,81.0,81.0,80.0,80.0,1.7,0.2,0.3,0.2,2.4,1.0,0.0,1.0,0.0,2.0
13.0,22.0,15.0,3.0,167.0,71.8,70.6,70.4,70.3,69.7,89.0,84.0,84.0,83.0,83.0,1.2,0.2,0.1,0.6,2.1,5.0,0.0,1.0,0.0,6.0
20.0,24.0,8.0,2.0,160.0,59.8,58.3,57.9,57.3,57.3,80.0,77.0,74.0,75.0,75.0,1.5,0.4,0.6,0.0,2.5,3.0,3.0,-1.0,0.0,5.0
23.0,24.0,22.0,20.0,172.0,64.0,62.9,62.1,61.9,60.3,75.0,71.0,72.0,69.0,70.0,1.1,0.8,0.2,1.6,3.7,4.0,-1.0,3.0,-1.0,5.0
25.0,18.0,3.0,0.0,177.0,73.2,71.2,70.4,70.8,70.0,91.0,89.0,88.5,88.5,86.5,2.0,0.8,-0.4,0.8,3.2,2.0,0.5,0.0,2.0,4.5
22.0,25.0,25.0,26.0,158.0,63.4,63.1,62.7,61.5,60.8,80.0,79.0,78.0,78.0,78.0,0.3,0.4,1.2,0.7,2.6,1.0,1.0,0.0,0.0,2.0
23.0,28.0,28.0,28.0,174.0,85.8,84.8,84.2,83.9,83.4,96.0,91.0,94.0,88.0,91.0,1.0,0.6,0.3,0.5,2.4,5.0,-3.0,6.0,-3.0,5.0
19.0,17.0,17.0,17.0,171.0,62.0,60.6,59.7,59.8,58.9,82.0,76.0,78.0,77.0,74.0,1.4,0.9,-0.1,0.9,3.1,6.0,-2.0,1.0,3.0,8.0
23.0,23.0,27.0,0.0,165.0,66.5,65.5,64.7,64.0,63.8,75.0,71.0,70.0,69.0,68.0,1.0,0.8,0.7,0.2,2.7,4.0,1.0,1.0,1.0,7.0
23.0,28.0,23.0,5.0,155.0,64.0,63.0,62.2,61.5,61.0,89.0,87.0,86.0,87.0,87.0,1.0,0.8,0.7,0.5,3.0,2.0,1.0,-1.0,0.0,2.0
24.0,28.0,28.0,28.0,161.0,63.5,62.9,61.7,61.5,60.8,77.0,76.0,75.0,75.0,73.0,0.6,1.2,0.2,0.7,2.7,1.0,1.0,0.0,2.0,4.0
27.0,23.0,23.0,21.0,157.0,50.3,48.5,48.2,48.3,47.6,67.0,66.0,65.0,66.0,65.0,1.8,0.3,-0.1,0.7,2.7,1.0,1.0,-1.0,1.0,2.0
7.0,14.0,13.0,5.0,161.0,84.8,82.5,82.5,81.9,81.6,103.0,102.0,100.0,99.0,98.0,2.3,0.0,0.6,0.3,3.2,1.0,2.0,1.0,1.0,5.0
23.0,27.0,25.0,17.0,163.0,67.7,67.2,67.3,66.3,65.9,85.0,85.0,88.0,84.0,84.0,0.5,-0.1,1.0,0.4,1.8,0.0,-3.0,4.0,0.0,1.0
28.0,25.0,25.0,22.0,160.0,53.8,53.7,54.3,53.0,52.9,74.0,71.0,70.0,68.0,67.0,0.1,-0.6,1.3,0.1,0.9,3.0,1.0,2.0,1.0,7.0
5.0,4.0,3.0,1.0,163.0,88.0,84.0,82.0,80.5,80.2,98.0,97.0,90.0,91.0,90.0,4.0,2.0,1.5,0.3,7.8,1.0,7.0,-1.0,1.0,8.0
20.0,19.0,25.0,27.0,168.0,77.5,76.6,75.5,75.5,74.5,85.0,83.0,82.5,82.0,79.0,0.9,1.1,0.0,1.0,3.0,2.0,0.5,0.5,3.0,6.0
16.0,17.0,16.0,9.0,160.0,63.0,61.6,61.5,61.6,60.0,81.0,79.0,79.0,79.0,78.0,1.4,0.1,-0.1,1.6,3.0,2.0,0.0,0.0,1.0,3.0
19.0,23.0,17.0,2.0,160.0,68.0,66.5,66.0,65.5,65.0,75.0,74.0,72.0,70.5,72.0,1.5,0.5,0.5,0.5,3.0,1.0,2.0,1.5,-1.5,3.0
23.0,24.0,21.0,20.0,163.0,65.8,64.5,64.0,62.8,61.5,83.0,81.0,80.0,80.0,80.0,1.3,0.5,1.2,1.3,4.3,2.0,1.0,0.0,0.0,3.0
28.0,26.0,27.0,20.0,171.0,70.8,68.4,68.1,67.7,68.4,86.0,86.0,86.0,84.0,84.0,2.4,0.3,0.4,-0.7,2.4,0.0,0.0,2.0,0.0,2.0
21.0,21.0,16.0,18.0,183.0,84.0,82.0,81.0,79.0,79.0,91.0,90.0,90.0,89.0,86.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,3.0,5.0
23.0,24.0,24.0,27.0,160.0,47.5,47.0,47.0,47.0,46.8,69.0,67.5,66.0,65.5,65.0,0.5,0.0,0.0,0.2,0.7,1.5,1.5,0.5,0.5,4.0
21.0,21.0,16.0,13.0,173.0,62.5,62.0,62.1,61.7,61.8,79.0,79.0,77.5,78.0,77.0,0.5,-0.1,0.4,-0.1,0.7,0.0,1.5,-0.5,1.0,2.0
24.0,28.0,24.0,27.0,166.0,59.5,59.0,58.0,56.0,55.0,68.0,65.5,64.5,63.0,62.5,0.5,1.0,2.0,1.0,4.5,2.5,1.0,1.5,0.5,5.5
25.0,23.0,22.0,22.0,160.0,55.7,54.2,53.9,53.2,52.9,71.0,70.0,70.0,70.0,69.0,1.5,0.3,0.7,0.3,2.8,1.0,0.0,0.0,1.0,2.0
22.0,26.0,22.0,10.0,153.0,59.5,58.0,58.2,57.9,57.9,89.5,83.0,81.0,80.1,84.0,1.5,-0.2,0.3,0.0,1.6,6.5,2.0,0.9,-3.9,5.5
22.0,20.0,16.0,16.0,169.0,60.0,56.0,55.2,55.0,54.7,74.0,69.0,67.0,66.6,66.0,4.0,0.8,0.2,0.3,5.3,5.0,2.0,0.4,0.6,8.0
27.0,27.0,26.0,22.0,174.0,80.7,78.3,77.6,76.7,75.5,94.0,94.0,92.0,92.0,90.0,2.4,0.7,0.9,1.2,5.2,0.0,2.0,0.0,2.0,4.0
28.0,28.0,28.0,28.0,164.0,48.4,47.5,47.5,47.5,47.3,70.0,68.0,67.0,66.5,64.0,0.9,0.0,0.0,0.2,1.1,2.0,1.0,0.5,2.5,6.0
24.0,28.0,28.0,28.0,183.0,89.0,87.5,85.5,84.0,83.5,89.0,87.0,85.8,85.0,84.0,1.5,2.0,1.5,0.5,5.5,2.0,1.2,0.8,1.0,5.0
23.0,25.0,22.0,22.0,168.0,76.0,73.0,72.0,71.0,70.4,87.0,84.5,83.5,82.5,81.0,3.0,1.0,1.0,0.6,5.6,2.5,1.0,1.0,1.5,6.0
15.0,19.0,13.0,11.0,166.0,66.0,64.8,63.8,64.7,63.5,74.0,72.0,71.0,70.0,70.0,1.2,1.0,-0.9,1.2,2.5,2.0,1.0,1.0,0.0,4.0
23.0,28.0,27.0,27.0,163.0,59.5,58.6,57.3,56.4,56.6,71.0,70.0,69.0,67.5,67.0,0.9,1.3,0.9,-0.2,2.9,1.0,1.0,1.5,0.5,4.0
16.0,19.0,20.0,20.0,171.0,74.5,73.5,71.8,72.5,71.1,95.0,90.0,88.0,88.0,88.0,1.0,1.7,-0.7,1.4,3.4,5.0,2.0,0.0,0.0,7.0
23.0,27.0,25.0,25.0,164.0,63.5,63.0,63.0,62.5,61.5,82.0,80.0,78.0,77.0,76.5,0.5,0.0,0.5,1.0,2.0,2.0,2.0,1.0,0.5,5.5
13.0,22.0,24.0,23.0,160.0,58.4,56.8,57.7,57.2,56.7,79.0,74.5,74.0,74.0,74.0,1.6,-0.9,0.5,0.5,1.7,4.5,0.5,0.0,0.0,5.0
27.0,28.0,25.0,28.0,167.0,60.9,58.9,57.9,57.0,56.9,77.0,77.0,75.5,73.5,72.5,2.0,1.0,0.9,0.1,4.0,0.0,1.5,2.0,1.0,4.5
28.0,28.0,27.0,26.0,160.0,54.3,53.7,53.0,53.1,52.4,72.0,74.0,71.0,71.0,70.0,0.6,0.7,-0.1,0.7,1.9,-2.0,3.0,0.0,1.0,2.0
23.0,22.0,26.0,23.0,166.0,66.0,64.4,63.5,62.3,61.7,88.0,85.0,83.0,80.0,79.0,1.6,0.9,1.2,0.6,4.3,3.0,2.0,3.0,1.0,9.0
22.0,22.0,24.0,22.0,159.0,66.6,66.4,66.6,65.7,64.0,83.0,80.0,76.0,74.0,74.0,0.2,-0.2,0.9,1.7,2.6,3.0,4.0,2.0,0.0,9.0
24.0,28.0,27.0,27.0,165.0,56.5,55.6,56.3,56.3,55.3,69.0,68.0,68.0,67.5,66.5,0.9,-0.7,0.0,1.0,1.2,1.0,0.0,0.5,1.0,2.5
9.0,8.0,12.0,6.0,161.0,57.0,56.0,55.0,54.8,54.0,78.0,77.0,75.0,73.0,70.0,1.0,1.0,0.2,0.8,3.0,1.0,2.0,2.0,3.0,8.0
